timestamp,price
2025-02-10 01:00:00+02:00,3.28
2025-02-10 02:00:00+02:00,3.0
2025-02-10 03:00:00+02:00,3.57
2025-02-10 04:00:00+02:00,4.05
2025-02-10 05:00:00+02:00,5.07
2025-02-10 06:00:00+02:00,11.94
2025-02-10 07:00:00+02:00,33.48
2025-02-10 08:00:00+02:00,90.57
2025-02-10 09:00:00+02:00,125.01
2025-02-10 10:00:00+02:00,124.77
2025-02-10 11:00:00+02:00,109.03
2025-02-10 12:00:00+02:00,111.25
2025-02-10 13:00:00+02:00,110.67
2025-02-10 14:00:00+02:00,129.0
2025-02-10 15:00:00+02:00,120.01
2025-02-10 16:00:00+02:00,129.6
2025-02-10 17:00:00+02:00,110.67
2025-02-10 18:00:00+02:00,151.01
2025-02-10 19:00:00+02:00,110.67
2025-02-10 20:00:00+02:00,87.0
2025-02-10 21:00:00+02:00,69.23
2025-02-10 22:00:00+02:00,56.19
2025-02-10 23:00:00+02:00,28.36
2025-02-11 00:00:00+02:00,11.86
