timestamp,price
2025-06-10 00:00:00+03:00,0.9
2025-06-10 01:00:00+03:00,0.96
2025-06-10 02:00:00+03:00,0.01
2025-06-10 03:00:00+03:00,1.09
2025-06-10 04:00:00+03:00,1.71
2025-06-10 05:00:00+03:00,3.0
2025-06-10 06:00:00+03:00,11.33
2025-06-10 07:00:00+03:00,77.69
2025-06-10 08:00:00+03:00,82.04
2025-06-10 09:00:00+03:00,83.09
2025-06-10 10:00:00+03:00,70.46
2025-06-10 11:00:00+03:00,22.95
2025-06-10 12:00:00+03:00,24.57
2025-06-10 13:00:00+03:00,17.86
2025-06-10 14:00:00+03:00,15.9
2025-06-10 15:00:00+03:00,24.89
2025-06-10 16:00:00+03:00,31.73
2025-06-10 17:00:00+03:00,48.49
2025-06-10 18:00:00+03:00,106.99
2025-06-10 19:00:00+03:00,155.19
2025-06-10 20:00:00+03:00,196.35
2025-06-10 21:00:00+03:00,225.37
2025-06-10 22:00:00+03:00,149.58
2025-06-10 23:00:00+03:00,99.77
